170101001,HS424
170101002,HS415
170101003,HS415
170101004,HS420
170101005,HS401
170101006,HS429
170101007,HS401
170101008,HS429
170101009,HS424
170101011,HS415
170101012,HS429
170101013,HS429
170101014,HS424
170101015,HS415
170101016,HS424
170101017,HS424
170101018,HS421
170101019,HS429
170101020,HS424
170101021,HS415
170101022,HS429
170101024,HS421
170101025,HS429
170101026,HS420
170101027,HS427
170101028,HS425
170101029,HS425
170101030,HS429
170101031,HS415
170101032,HS425
170101033,HS424
170101034,HS424
170101035,HS424
170101036,HS409
170101037,HS424
170101038,HS429
170101039,HS415
170101040,HS429
170101041,HS429
170101042,HS415
170101043,HS425
170101044,HS420
170101045,HS429
170101046,HS424
170101047,HS401
170101048,HS415
170101049,HS415
170101050,HS424
170101051,HS429
170101052,HS420
170101053,HS424
170101054,HS415
170101055,HS409
170101056,HS401
170101057,HS425
170101058,HS429
170101059,HS415
170101060,HS429
170101061,HS424
170101062,HS420
170101063,HS427
170101064,HS427
170101065,HS415
170101066,HS420
170101067,HS424
170101068,HS409
170101070,HS425
170101071,HS424
170101072,HS424
170101073,HS424
170101074,HS429
170101075,HS429
170101076,HS429
170101077,HS429
170101078,HS424
170101079,HS415
170101080,HS415
170101081,HS415
170101082,HS429
170101083,HS421
170101084,HS429
170101085,HS425
170101086,HS429
170101087,HS409
170101088,HS425
170102002,HS429
170102004,HS415
170102005,HS409
170102006,HS420
170102007,HS429
170102008,HS401
170102009,HS401
170102010,HS409
170102011,HS420
170102012,HS427
170102013,HS427
170102014,HS429
170102015,HS415
170102018,HS401
170102019,HS415
170102020,HS401
170102021,HS401
170102022,HS424
170102024,HS427
170102025,HS401
170102026,HS401
170102027,HS420
170102029,HS415
170102030,HS429
170102031,HS429
170102032,HS429
170102033,HS409
170102034,HS429
170102036,HS401
170102037,HS427
170102038,HS429
170102039,HS421
170102040,HS401
170102041,HS401
170102042,HS401
170102043,HS401
170102044,HS415
170102045,HS401
170102046,HS427
170102047,HS401
170102048,HS415
170102049,HS421
170102050,HS424
170102051,HS427
170102052,HS427
170102053,HS415
170102054,HS401
170102055,HS427
170102056,HS425
170102057,HS415
170102058,HS401
170102060,HS427
170102061,HS401
170102062,HS415
170102063,HS427
170102064,HS409
170102065,HS415
170102066,HS401
170102067,HS427
170102068,HS427
170102069,HS427
170102070,HS421
170102071,HS429
170102072,HS415
170102073,HS401
170102074,HS427
170102075,HS401
170102076,HS427
170102077,HS424
170102078,HS429
170102079,HS401
170102080,HS409
170102081,HS415
170102082,HS401
170102083,HS415
170102325,HS421
170103001,HS401
170103002,HS401
170103003,HS427
170103005,HS401
170103006,HS427
170103007,HS427
170103008,HS424
170103009,HS401
170103011,HS409
170103012,HS421
170103013,HS401
170103017,HS420
170103018,HS409
170103019,HS425
170103020,HS401
170103022,HS421
170103025,HS425
170103027,HS429
170103028,HS421
170103029,HS401
170103031,HS429
170103032,HS401
170103034,HS409
170103035,HS401
170103036,HS415
170103037,HS421
170103038,HS409
170103039,HS415
170103040,HS415
170103041,HS401
170103042,HS424
170103043,HS415
170103045,HS409
170103047,HS421
170103048,HS421
170103049,HS421
170103050,HS425
170103052,HS409
170103053,HS409
170103054,HS415
170103057,HS409
170103058,HS415
170103059,HS429
170103061,HS424
170103062,HS427
170103064,HS425
170103065,HS409
170103067,HS421
170103068,HS401
170103071,HS401
170103072,HS425
170103073,HS401
170103074,HS427
170103075,HS409
170103076,HS409
170103077,HS401
170103078,HS409
170103080,HS409
170103081,HS427
170103082,HS401
170103083,HS424
170103084,HS409
170103085,HS401
170103088,HS401
170103090,HS409
170103091,HS401
170103092,HS401
170103093,HS425
170103094,HS409
170103095,HS427
170104001,HS421
170104002,HS401
170104003,HS424
170104004,HS421
170104005,HS409
170104006,HS401
170104007,HS420
170104008,HS415
170104009,HS427
170104010,HS429
170104011,HS424
170104012,HS401
170104014,HS415
170104015,HS401
170104016,HS427
170104017,HS415
170104018,HS409
170104019,HS415
170104021,HS427
170104022,HS427
170104023,HS424
170104024,HS415
170104025,HS421
170104026,HS409
170104027,HS421
170104029,HS409
170104030,HS415
170104031,HS415
170104032,HS401
170104033,HS421
170104037,HS415
170104038,HS401
170104039,HS425
170104040,HS415
170104043,HS427
170104044,HS409
170104045,HS424
170104046,HS415
170104047,HS401
170104048,HS421
170104049,HS409
170104050,HS415
170104052,HS421
170104053,HS425
170104055,HS409
170104056,HS425
170104057,HS421
170104058,HS427
170104059,HS409
170104060,HS427
170104061,HS427
170104063,HS427
170104065,HS421
170104066,HS424
170104067,HS415
170104068,HS401
170104069,HS425
170104070,HS421
170104071,HS409
170104074,HS425
170104075,HS421
170104076,HS429
170104077,HS415
170104078,HS409
170104079,HS427
170104080,HS421
170106002,HS420
170106004,HS420
170106008,HS420
170106009,HS427
170106010,HS427
170106011,HS409
170106012,HS420
170106013,HS420
170106014,HS427
170106015,HS429
170106016,HS420
170106017,HS421
170106018,HS427
170106019,HS415
170106022,HS421
170106023,HS420
170106024,HS420
